Available Drivers,Cancel Time,Order ID,Placed Time,Reject Time,Response Distance,Response Time,Service Type
89,6/8/2018 2:20:23 PM,189,6/8/2018 2:20:01 PM,,3029,6/8/2018 2:20:12 PM,Van
19,,190,6/8/2018 2:20:26 PM,6/9/2018 9:54:03 AM,3144,6/8/2018 2:20:47 PM,Motorcycle
85,6/8/2018 2:22:23 PM,191,6/8/2018 2:21:54 PM,,3913,6/8/2018 2:22:16 PM,Van
6,,192,6/8/2018 2:22:46 PM,,4443,6/8/2018 2:22:56 PM,Van
85,6/8/2018 2:23:31 PM,193,6/8/2018 2:23:04 PM,,3910,6/8/2018 2:23:24 PM,Van
1,,194,6/8/2018 2:23:20 PM,,6592,6/8/2018 2:23:54 PM,Van
84,6/8/2018 2:24:46 PM,195,6/8/2018 2:24:21 PM,,2393,6/8/2018 2:24:30 PM,Van
87,6/8/2018 2:26:29 PM,196,6/8/2018 2:26:00 PM,,5028,6/8/2018 2:26:19 PM,Van
42,,197,6/8/2018 2:26:04 PM,,2401,6/8/2018 2:26:24 PM,Van
130,,198,6/8/2018 2:28:21 PM,,2522,6/8/2018 2:28:29 PM,Van
163,,199,6/8/2018 2:31:30 PM,,1862,6/8/2018 2:31:38 PM,Van
157,,200,6/8/2018 2:31:33 PM,,2635,6/8/2018 2:31:41 PM,Van
9,,201,6/8/2018 2:31:36 PM,,1599,6/8/2018 2:31:52 PM,Van
137,6/8/2018 2:40:01 PM,202,6/8/2018 2:36:15 PM,,2284,6/8/2018 2:36:23 PM,Van
3,,203,6/8/2018 2:36:22 PM,,5565,6/8/2018 2:37:00 PM,Van
126,,204,6/8/2018 2:38:39 PM,,2492,6/8/2018 2:39:01 PM,Van
119,,205,6/8/2018 2:46:23 PM,,478,6/8/2018 2:46:30 PM,Van
62,,206,6/8/2018 2:46:49 PM,,2503,6/8/2018 2:46:57 PM,Van
16,,207,6/8/2018 2:50:11 PM,,4239,6/8/2018 2:50:37 PM,Van
74,,208,6/8/2018 2:51:38 PM,,811,6/8/2018 2:51:46 PM,Van
91,,209,6/8/2018 2:51:50 PM,,1937,6/8/2018 2:52:00 PM,Van
15,,210,6/8/2018 2:53:38 PM,,3477,6/8/2018 2:53:58 PM,Van
139,,211,6/8/2018 2:53:58 PM,,2913,6/8/2018 2:54:08 PM,Van
152,,212,6/8/2018 2:58:11 PM,,2450,6/8/2018 2:58:19 PM,Van
68,,213,6/8/2018 3:04:50 PM,,3169,6/8/2018 3:05:12 PM,Van
14,,214,6/8/2018 3:09:04 PM,,6997,6/8/2018 3:09:38 PM,Van
53,,215,6/8/2018 3:10:05 PM,,10081,6/8/2018 3:10:17 PM,Van
29,,216,6/8/2018 3:11:06 PM,,198,6/8/2018 3:11:17 PM,Van
52,,217,6/8/2018 3:12:14 PM,,1541,6/8/2018 3:12:21 PM,Van
143,,218,6/8/2018 3:13:10 PM,,2154,6/8/2018 3:13:18 PM,Van
22,,219,6/8/2018 3:13:58 PM,,1517,6/8/2018 3:14:19 PM,Van
37,,220,6/8/2018 3:15:39 PM,,3703,6/8/2018 3:16:18 PM,Van
44,,221,6/8/2018 3:17:57 PM,,1524,6/8/2018 3:18:07 PM,Motorcycle
63,,222,6/8/2018 3:18:09 PM,,5681,6/8/2018 3:18:29 PM,Van
14,,223,6/8/2018 3:23:41 PM,,4290,6/8/2018 3:24:04 PM,Van
119,6/8/2018 3:28:32 PM,224,6/8/2018 3:28:23 PM,,2784,6/8/2018 3:28:30 PM,Van
111,,225,6/8/2018 3:28:43 PM,,14,6/8/2018 3:28:50 PM,Van
94,,226,6/8/2018 3:29:08 PM,6/9/2018 3:05:40 PM,2928,6/8/2018 3:29:16 PM,Van
110,,227,6/8/2018 3:30:45 PM,,2276,6/8/2018 3:30:52 PM,Van
45,6/8/2018 3:31:22 PM,228,6/8/2018 3:30:51 PM,,2008,6/8/2018 3:31:11 PM,Van
